,region,subregion,Country,Population,TotalConfirmed
193,Oceania,Polynesia,Tokelau,1411.0,0
194,Oceania,Polynesia,Tonga,103036.0,0
195,Americas,Caribbean,Trinidad and Tobago,1328019.0,115
196,Africa,Northern Africa,Tunisia,10833431.0,949
197,Asia,Western Asia,Turkey,75627384.0,110130
198,Asia,Central Asia,Turkmenistan,5240000.0,0
199,Americas,Caribbean,Turks and Caicos Islands,31458.0,0
200,Oceania,Polynesia,Tuvalu,11323.0,0
201,Africa,Eastern Africa,Uganda,35357000.0,79
202,Europe,Eastern Europe,Ukraine,45461627.0,8617
203,Asia,Western Asia,United Arab Emirates,8264070.0,10349
204,Europe,Northern Europe,United Kingdom,63705000.0,154037
205,Americas,South America,Uruguay,3286314.0,606
206,Asia,Central Asia,Uzbekistan,30183400.0,1869
207,Oceania,Melanesia,Vanuatu,264652.0,0
208,Africa,Northern Africa,Western Sahara,567000.0,6
209,Asia,Western Asia,Yemen,24527000.0,1
210,Africa,Eastern Africa,Zambia,13092666.0,88
211,Africa,Eastern Africa,Zimbabwe,12973808.0,31
212,,,ALA Aland Islands,,0
213,,,Brunei Darussalam,,138
214,,,Congo (Brazzaville),,200
215,,,Congo (Kinshasa),,442
216,,,Falkland Islands (Malvinas),,0
217,,,French Southern Territories,,0
218,,,Heard and Mcdonald Islands,,0
219,,,Holy See (Vatican City State),,9
220,,,"Hong Kong, SAR China",,0
221,,,"Iran, Islamic Republic of",,90481
222,,,Korea (North),,0
223,,,Korea (South),,10738
224,,,Lao PDR,,19
225,,,"Macao, SAR China",,0
226,,,"Macedonia, Republic of",,1386
227,,,"Micronesia, Federated States of",,0
228,,,Netherlands Antilles,,0
229,,,Pitcairn,,0
230,,,Russian Federation,,80949
231,,,Saint Vincent and Grenadines,,14
232,,,Saint-Barthélemy,,0
233,,,Saint-Martin (French part),,0
234,,,Sao Tome and Principe,,4
235,,,South Georgia and the South Sandwich Islands,,0
236,,,Svalbard and Jan Mayen Islands,,0
237,,,Syrian Arab Republic (Syria),,43
238,,,"Taiwan, Republic of China",,429
239,,,"Tanzania, United Republic of",,299
240,,,US Minor Outlying Islands,,0
241,,,United States of America,,964673
242,,,Venezuela (Bolivarian Republic),,325
243,,,Viet Nam,,270
244,,,"Virgin Islands, US",,0
245,,,Wallis and Futuna Islands,,0
